id;fr;en
1;Partie rapide;Fast game
2;Mode classique;Classic
3;Options;Options
4;Mode histoire;Story mode
5;Rêves distants;Distant dreams
6;Succès;Achievements
7;Quitter;Quit
8;A propos;About
9;Choisissez votre personnage;Choose your character
10;Cycle d'incantation;Spell cycle
11;Potentiel;Potential
12;Caractéristiques;Stats
13;Difficulté;Hardness
14;Points de vie;Health points
15;Malus;Malus
16;Opération;Operation
17;Très facile;Very easy
18;Facile;Easy
19;Moyen;Medium
20;Difficile;Hard
21;Très difficile;Very hard
22;Extrême;Extreme
23;Démarrer;Start
24;Retour;Return
25;Victoire;Victory
26;Défaite;Defeat
27;Points;Points
28;Chaîne;Chain
29;Vitesse de calcul;Calculation speed
30;Posture;Stance
31;Temps restant;Time left
32;Interlude;Interlude
32;Iris;Iris
33;Reliques;Relics
34;Nouvelles opérations;New operations
35;Echanger;Swap
36;Effacer;Clear
37;Annuler;Cancel
38;L'incantation ne peut pas être complexifiée davantage! Supprimez un des ses éléments avant.;You can't complexify the incantation anymore ! Delete at least one element before.
38;Vous n'avez pas assez d'argent!;Not enough money!
